date,symbol,exchange,company_name,stock_price_close,option_symbol,option_expiration,strike,call_put,style,ask,bid,mean_price,settlement,volume,open_interest,stock_price_for_iv
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00100000,10/18/2019,100.000,C,A,51.390,51.280,51.335,0.000,15,15,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00100000,10/18/2019,100.000,P,A,0.010,0.000,0.000,0.000,0,1880,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00101000,10/18/2019,101.000,C,A,50.390,50.280,50.335,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00101000,10/18/2019,101.000,P,A,0.010,0.000,0.000,0.000,0,735,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00102000,10/18/2019,102.000,C,A,49.390,49.280,49.335,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00102000,10/18/2019,102.000,P,A,0.010,0.000,0.000,0.000,0,19,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00103000,10/18/2019,103.000,C,A,48.400,48.270,48.335,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00103000,10/18/2019,103.000,P,A,0.010,0.000,0.000,0.000,0,102,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00104000,10/18/2019,104.000,C,A,47.400,47.270,47.335,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00104000,10/18/2019,104.000,P,A,0.010,0.000,0.000,0.000,0,137,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00105000,10/18/2019,105.000,C,A,46.400,46.270,46.335,0.000,0,2,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00105000,10/18/2019,105.000,P,A,0.010,0.000,0.000,0.000,0,1175,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018C00106000,10/18/2019,106.000,C,A,45.400,45.280,45.340,0.000,0,0,151.320
10/15/2019,IWM,NYSEArca,iShares Russell 2000 ETF,151.390,IWM   191018P00106000,10/18/2019,106.000,P,A,0.010,0.000,0.000,0.000,0,5,151.320
