underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-06-01,VIX,2016-06-01,10.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,6,
^VIX,2016-06-01,VIX,2016-06-01,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,10.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,83,
^VIX,2016-06-01,VIX,2016-06-01,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,12.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,5,
^VIX,2016-06-01,VIX,2016-06-01,12.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0.0000,14.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
