Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,5523487,5200,17.81,2013,17.80,17.81,5451969,71518
VXX,5353781,900,23.72,2000,23.71,23.72,5266374,87407
VIXY,1007985,200,19.38,737,19.37,19.38,998756,9229
IEFA,914280,9100,70.25,4200,70.24,70.24,889856,24424
RSX,735729,1200,23.44,300,23.43,23.43,714014,21715
ITB,651135,300,67.73,500,67.71,67.72,647184,3951
ARKG,636410,2300,45.67,300,45.63,45.64,635045,1365
EZU,530782,7400,46.41,5000,46.40,46.40,526075,4707
MTUM,405357,400,159.05,5,159.03,159.01,405196,161
IGV,354727,100,339.03,125,338.93,339.05,347160,7567
EFV,283937,2600,50.87,1000,50.86,50.86,278837,5100
GOVT,264818,200943,26.00,3800,25.99,26.00,121218,143600
USMV,262136,249,74.13,500,74.12,74.12,260754,1382
VLUE,239893,400,104.91,100,104.90,104.89,239364,529
INDA,210024,2800,44.74,2000,44.73,44.74,190081,19943
QUAL,177779,350,131.18,350,131.15,131.17,177679,100
SVXY,171404,4,53.62,300,53.61,53.62,170138,1266
REM,155630,400,32.71,400,32.70,32.70,153944,1686
PAVE,143771,1700,25.63,200,25.62,25.63,141494,2277
RYLD,132843,4377,22.09,700,22.07,22.08,131232,1611
EFG,100171,301,97.21,400,97.18,97.15,70364,29807
UJAN,95820,400,30.61,4000,30.56,30.43,95820,0
ARKQ,87849,200,61.90,50,61.88,61.90,87848,1
HFGO,76255,500,15.71,500,15.69,15.60,76255,0
USHY,72542,4892,39.92,17292,39.91,39.92,71615,927
NOBL,71478,1000,92.19,100,92.17,92.15,71378,100
IYZ,60320,1000,30.06,1900,30.05,30.04,59920,400
BBCA,49730,1100,64.87,1000,64.83,64.66,47736,1994
ARKX,48136,400,15.72,2400,15.70,15.70,47939,197
BBAX,47797,1000,50.68,200,50.66,50.56,43198,4599
MOAT,43197,100,72.58,100,72.57,72.59,43097,100
ECH,41743,300,25.54,1000,25.47,25.48,39464,2279
JPST,40925,23168,50.44,68999,50.43,50.44,40925,0
IDV,39389,1100,31.86,479,31.85,31.85,37468,1921
EFAV,38610,700,71.96,900,71.94,71.94,38610,0
FGRO,36293,1000,16.85,1100,16.84,16.76,36293,0
BBEU,33060,1600,56.72,1600,56.69,56.69,32160,900
